Hisseler;Milyon Tl
TURGG;-0,7
ULAS;1,98
ULUSE;54,78
ULUUN;24,88
USAK;-7,67
UTPYA;2,39
ULKER;316,95
VAKFN;-231,3
VKGYO;27,89
VAKBN;768,04
VAKKO;19,73
VANGD;-2,5
VERUS;29,5
VERTU;12,03
VESTL;284,25
VESBE;129,56
VKING;1,43
YKGYO;10,32
YKBNK;956,88
YAPRK;2,8
YATAS;22,41
YAYLA;-6,33
YGGYO;153,26
YGYO;-88,18
YYAPI;-21,28
YESIL;38,64
YKSLN;-2,28
YUNSA;11,83
ZOREN;253,68
